# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./integrated_200bins.dat
#       q_nm^-1              I           sigma 
  8.840025e+00    2.939789e-05   1.060690e-04
  8.888724e+00    4.427842e-04   4.265413e-04
  8.937422e+00    0.000000e+00   0.000000e+00
  8.986120e+00    0.000000e+00   0.000000e+00
  9.034818e+00    1.570423e-04   2.849298e-04
  9.083516e+00    4.836864e-04   5.221702e-04
  9.132215e+00    7.190499e-04   6.665023e-04
  9.180913e+00    0.000000e+00   0.000000e+00
  9.229611e+00    0.000000e+00   0.000000e+00
  9.278309e+00    1.001397e-03   9.253992e-04
  9.327007e+00    1.549567e-03   1.230336e-03
  9.375706e+00    8.626988e-04   9.901906e-04
  9.424404e+00    1.593144e-03   1.468678e-03
  9.473102e+00    1.969250e-03   1.814395e-03
  9.521800e+00    0.000000e+00   0.000000e+00
  9.570498e+00    0.000000e+00   0.000000e+00
  9.619197e+00    0.000000e+00   0.000000e+00
  9.667895e+00    0.000000e+00   0.000000e+00
  9.716593e+00    0.000000e+00   0.000000e+00
